File	Cores per node	CPU Utilized	CPU Efficiency	Memory Efficiency
NanoPlot-sample=SQK-NBD114-24_barcode14-1015554.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode14-1015557.out	32	00:00:03	1.34%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode14-1015679.out	32	00:00:03	0.94%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode14-1015727.out	32	00:00:04	1.39%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode14-1015926.out	32	00:00:04	1.39%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode14-1015940.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode15-1015552.out	32	00:00:03	1.56%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode15-1015555.out	32	00:00:03	1.04%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode15-1015700.out	32	00:00:03	1.17%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode15-1015738.out	32	00:00:03	1.34%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode15-1015925.out	32	00:00:02	1.25%	0.00%
NanoPlot-sample=SQK-NBD114-24_barcode15-1015939.out	32	00:00:04	2.08%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode04-1015643.out	32	00:00:04	1.39%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode04-1015839.out	32	00:00:15	4.69%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode05-1015632.out	32	00:00:05	1.56%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode05-1015837.out	32	00:00:13	2.14%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode06-1015566.out	32	00:00:04	1.79%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode06-1015835.out	32	00:00:10	2.23%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode07-1015614.out	32	00:00:04	2.08%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode07-1015821.out	32	00:00:12	3.75%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode08-1015598.out	32	00:00:05	2.23%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode08-1015833.out	32	00:00:12	3.75%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode09-1015592.out	32	00:00:09	2.81%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode09-1015838.out	32	00:00:13	4.06%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode10-1015575.out	32	00:00:04	1.39%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode10-1015830.out	32	00:00:07	2.19%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode11-1015620.out	32	00:00:05	2.23%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode11-1015834.out	32	00:00:13	2.03%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode12-1015616.out	32	00:00:04	1.79%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode12-1015828.out	32	00:00:07	3.12%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode13-1015590.out	32	00:00:05	1.95%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode13-1015829.out	32	00:00:09	2.81%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode14-1015558.out	32	00:00:05	2.60%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode14-1015820.out	32	00:00:07	3.12%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode15-1015556.out	32	00:00:07	1.99%	0.00%
SSP_removal-sample=SQK-NBD114-24_barcode15-1015831.out	32	00:00:06	1.88%	0.00%
SSP_removal-sample=barcode04-1053695.out	32	00:00:03	2.34%	0.00%
SSP_removal-sample=barcode05-1053653.out	32	00:00:03	2.34%	0.00%
SSP_removal-sample=barcode06-1053635.out	32	00:00:03	1.88%	0.00%
SSP_removal-sample=barcode07-1053704.out	32	00:00:03	1.88%	0.00%
SSP_removal-sample=barcode08-1053678.out	32	00:00:04	3.12%	0.00%
SSP_removal-sample=barcode09-1053682.out	32	00:00:03	3.12%	0.00%
SSP_removal-sample=barcode10-1053709.out	32	00:00:05	3.91%	0.00%
SSP_removal-sample=barcode11-1053666.out	32	00:00:03	2.34%	0.00%
SSP_removal-sample=barcode12-1053659.out	32	00:00:04	4.17%	0.00%
SSP_removal-sample=barcode13-1053629.out	32	00:00:03	2.34%	0.00%
SSP_removal-sample=barcode14-1053688.out	32	00:00:04	3.12%	0.00%
SSP_removal-sample=barcode15-1053716.out	32	00:00:04	2.08%	0.00%
TPM-sample=SQK-NBD114-24_barcode04-1015720.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode04-1015740.out	32	00:00:04	1.79%	0.00%
TPM-sample=SQK-NBD114-24_barcode04-1016090.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode04-1016091.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1015746.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1015753.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1015975.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1015977.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1016005.out	32	00:00:05	1.04%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1016025.out	32	00:00:04	1.25%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1016053.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode05-1016077.out	32	00:00:04	1.79%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1015732.out	32	00:00:03	1.34%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1015744.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1015980.out	32	00:00:04	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1015981.out	32	00:00:04	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1016001.out	32	00:00:04	0.83%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1016015.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1016049.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode06-1016070.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1015730.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1015743.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1015955.out	32	00:00:03	1.88%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1015962.out	32	00:00:03	1.34%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1015987.out	32	00:00:04	0.69%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1016010.out	32	00:00:03	1.34%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1016035.out	32	00:00:03	0.85%	0.00%
TPM-sample=SQK-NBD114-24_barcode07-1016068.out	32	00:00:04	1.79%	0.00%
TPM-sample=SQK-NBD114-24_barcode08-1015750.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode08-1015756.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode08-1016082.out	32	00:00:04	2.08%	0.00%
TPM-sample=SQK-NBD114-24_barcode08-1016083.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1015751.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1015758.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1015974.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1015976.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1015989.out	32	00:00:04	0.69%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1016013.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1016037.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode09-1016069.out	32	00:00:04	1.79%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1015737.out	32	00:00:03	1.34%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1015745.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1015937.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1015950.out	32	00:00:04	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1015992.out	32	00:00:05	1.04%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1016016.out	32	00:00:04	0.89%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1016040.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode10-1016061.out	32	00:00:03	1.34%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1015752.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1015757.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1015978.out	32	00:00:03	1.04%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1015979.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1016003.out	32	00:00:05	1.12%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1016021.out	32	00:00:04	1.25%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1016051.out	32	00:00:03	1.04%	0.00%
TPM-sample=SQK-NBD114-24_barcode11-1016073.out	32	00:00:03	1.34%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1015747.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1015754.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1015936.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1015947.out	32	00:00:03	1.88%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1015995.out	32	00:00:04	0.83%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1016027.out	32	00:00:04	0.89%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1016043.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode12-1016063.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1015723.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1015741.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1015945.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1015960.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1015985.out	32	00:00:04	0.69%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1016009.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1016033.out	32	00:00:04	1.79%	0.00%
TPM-sample=SQK-NBD114-24_barcode13-1016057.out	32	00:00:04	2.08%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1015729.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1015742.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1015928.out	32	00:00:04	2.08%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1015942.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1015986.out	32	00:00:04	0.69%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1016011.out	32	00:00:03	1.17%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1016034.out	32	00:00:04	1.14%	0.00%
TPM-sample=SQK-NBD114-24_barcode14-1016067.out	32	00:00:04	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1015749.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1015755.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1015933.out	32	00:00:04	1.14%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1015948.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1016008.out	32	00:00:03	1.56%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1016028.out	32	00:00:04	1.39%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1016056.out	32	00:00:03	0.94%	0.00%
TPM-sample=SQK-NBD114-24_barcode15-1016078.out	32	00:00:03	1.56%	0.00%
TPM-sample=barcode04-1053717.out	32	00:00:04	2.50%	0.00%
TPM-sample=barcode04-1053721.out	32	00:00:03	1.88%	0.00%
TPM-sample=barcode05-1053660.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode05-1053663.out	32	00:00:03	3.12%	0.00%
TPM-sample=barcode06-1053641.out	32	00:00:07	2.43%	0.00%
TPM-sample=barcode06-1053643.out	32	00:00:06	2.34%	0.00%
TPM-sample=barcode07-1053723.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode07-1053726.out	32	00:00:03	1.88%	0.00%
TPM-sample=barcode08-1053691.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode08-1053696.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode09-1053700.out	32	00:00:03	1.88%	0.00%
TPM-sample=barcode09-1053707.out	32	00:00:04	3.12%	0.00%
TPM-sample=barcode10-1053725.out	32	00:00:03	1.88%	0.00%
TPM-sample=barcode10-1053728.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode11-1053674.out	32	00:00:04	2.50%	0.00%
TPM-sample=barcode11-1053677.out	32	00:00:04	2.50%	0.00%
TPM-sample=barcode12-1053669.out	32	00:00:03	3.12%	0.00%
TPM-sample=barcode12-1053671.out	32	00:00:03	1.88%	0.00%
TPM-sample=barcode13-1053636.out	32	00:00:03	1.34%	0.00%
TPM-sample=barcode13-1053638.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode14-1053708.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode14-1053713.out	32	00:00:03	1.88%	0.00%
TPM-sample=barcode15-1053729.out	32	00:00:03	2.34%	0.00%
TPM-sample=barcode15-1053730.out	32	00:00:03	2.34%	0.00%
capture_config--1015253.out		00:00:06	8.96%	9.76%
capture_config--1015788.out		00:00:07	50.00%	0.00%
capture_config--1053592.out		00:00:01	50.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04-1015275.out		00:00:09	8.74%	11.05%
concatenate_fastq-sample=SQK-NBD114-24_barcode04-1015769.out		00:00:10	22.22%	11.05%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015267.out		00:00:06	8.96%	9.98%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015280.out		00:00:00	0.00%	4.71%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015509.out		00:00:03	6.12%	6.15%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015526.out		00:00:02	40.00%	0.00%
